84.33 	90.29 	0.09 	0.00 	0.00 	1.00 
86.33 	90.20 	0.09 	0.00 	0.00 	1.00 
88.56 	90.11 	0.09 	0.00 	0.00 	1.00 
90.53 	89.73 	0.09 	0.00 	0.00 	1.00 
92.85 	89.28 	0.09 	0.00 	0.00 	1.00 
94.75 	88.66 	0.09 	0.00 	0.00 	1.00 
96.15 	88.21 	0.09 	0.00 	0.00 	1.00 
97.97 	87.37 	0.09 	0.00 	0.00 	1.00 
100.10 	86.40 	0.09 	0.00 	0.00 	1.00 
101.39 	85.53 	0.09 	0.00 	0.00 	1.00 
102.98 	84.31 	0.09 	0.00 	0.00 	1.00 
104.78 	82.94 	0.09 	0.00 	0.00 	1.00 
106.17 	81.50 	0.09 	0.00 	0.00 	1.00 
107.25 	80.40 	0.09 	0.00 	0.00 	1.00 
108.40 	78.76 	0.09 	0.00 	0.00 	1.00 
109.23 	77.58 	0.09 	0.00 	0.00 	1.00 
110.01 	76.24 	0.09 	0.00 	0.00 	1.00 
110.84 	74.41 	0.09 	0.00 	0.00 	1.00 
111.49 	72.97 	0.09 	0.00 	0.00 	1.00 
112.09 	71.06 	0.09 	0.00 	0.00 	1.00 
112.47 	69.85 	0.09 	0.00 	0.00 	1.00 
112.84 	67.88 	0.09 	0.00 	0.00 	1.00 
113.34 	65.25 	0.09 	0.00 	0.00 	1.00 
113.45 	64.50 	0.09 	0.00 	0.00 	1.00 
113.59 	62.51 	0.09 	0.00 	0.00 	1.00 
113.80 	59.71 	0.09 	0.00 	0.00 	1.00 
113.92 	57.71 	0.09 	0.00 	0.00 	1.00 
114.07 	55.22 	0.09 	0.00 	0.00 	1.00 
114.03 	53.22 	0.09 	0.00 	0.00 	1.00 
114.00 	51.22 	0.09 	0.00 	0.00 	1.00 
113.96 	48.92 	0.09 	0.00 	0.00 	1.00 
113.61 	46.95 	0.09 	0.00 	0.00 	1.00 
113.27 	44.98 	0.09 	0.00 	0.00 	1.00 
112.88 	42.75 	0.09 	0.00 	0.00 	1.00 
112.40 	40.81 	0.09 	0.00 	0.00 	1.00 
111.75 	38.20 	0.09 	0.00 	0.00 	1.00 
111.31 	36.25 	0.09 	0.00 	0.00 	1.00 
110.97 	34.74 	0.09 	0.00 	0.00 	1.00 
110.38 	32.83 	0.09 	0.00 	0.00 	1.00 
109.50 	30.00 	0.09 	0.00 	0.00 	1.00 
108.44 	28.31 	0.09 	0.00 	0.00 	1.00 
107.38 	26.61 	0.09 	0.00 	0.00 	1.00 
106.79 	25.66 	0.09 	0.00 	0.00 	1.00 
105.30 	24.32 	0.09 	0.00 	0.00 	1.00 
103.22 	22.46 	0.09 	0.00 	0.00 	1.00 
101.49 	21.44 	0.09 	0.00 	0.00 	1.00 
100.07 	20.60 	0.09 	0.00 	0.00 	1.00 
97.77 	19.40 	0.09 	0.00 	0.00 	1.00 
95.85 	18.84 	0.09 	0.00 	0.00 	1.00 
93.66 	18.20 	0.09 	0.00 	0.00 	1.00 
94.84 	17.70 	2.32 	0.00 	0.00 	1.00 
96.28 	18.54 	1.22 	0.00 	0.00 	1.00 
97.77 	19.40 	0.09 	0.00 	0.00 	1.00 
97.84 	18.89 	2.03 	0.00 	0.00 	1.00 
97.90 	18.45 	3.68 	0.00 	0.00 	1.00 
98.82 	19.36 	2.16 	0.00 	0.00 	1.00 
100.07 	20.60 	0.09 	0.00 	0.00 	1.00 
100.89 	20.59 	1.91 	0.00 	0.00 	1.00 
101.72 	20.59 	3.74 	0.00 	0.00 	1.00 
102.18 	20.59 	4.77 	0.00 	0.00 	1.00 
102.59 	21.32 	2.95 	0.48 	0.00 	0.87 
102.99 	22.04 	1.13 	0.48 	0.00 	0.87 
103.22 	22.46 	0.09 	0.48 	0.00 	0.87 
104.34 	23.06 	1.64 	0.48 	0.00 	0.87 
105.46 	23.66 	3.18 	0.48 	0.00 	0.87 
106.56 	24.25 	4.70 	0.48 	0.00 	0.87 
106.65 	24.83 	2.79 	0.67 	0.00 	0.74 
106.79 	25.66 	0.09 	0.67 	0.00 	0.74 
107.81 	26.72 	1.45 	0.67 	0.00 	0.74 
108.83 	27.79 	2.80 	0.67 	0.00 	0.74 
109.78 	28.78 	4.07 	0.67 	0.00 	0.74 
109.65 	29.37 	2.16 	0.67 	0.00 	0.74 
109.50 	30.00 	0.09 	0.67 	0.00 	0.74 
110.35 	31.22 	1.43 	0.67 	0.00 	0.74 
111.51 	32.90 	3.28 	0.67 	0.00 	0.74 
111.22 	33.89 	1.56 	0.67 	0.00 	0.74 
110.97 	34.74 	0.09 	0.67 	0.00 	0.74 
111.79 	35.72 	1.63 	0.67 	0.00 	0.74 
112.61 	36.71 	3.16 	0.67 	0.00 	0.74 
113.41 	37.66 	4.64 	0.67 	0.00 	0.74 
112.73 	37.88 	2.77 	0.71 	0.41 	0.57 
111.75 	38.20 	0.09 	0.71 	0.41 	0.57 
112.60 	39.64 	1.20 	0.71 	0.41 	0.57 
113.45 	41.07 	2.31 	0.71 	0.41 	0.57 
113.97 	41.93 	2.98 	0.71 	0.41 	0.57 
113.29 	42.45 	1.17 	0.71 	0.41 	0.57 
112.88 	42.75 	0.09 	0.71 	0.41 	0.57 
113.63 	44.21 	1.25 	0.71 	0.41 	0.57 
114.37 	45.66 	2.40 	0.71 	0.41 	0.57 
115.04 	46.97 	3.44 	0.71 	0.41 	0.57 
114.50 	47.94 	1.77 	0.71 	0.41 	0.57 
113.96 	48.92 	0.09 	0.71 	0.41 	0.57 
114.51 	50.47 	1.23 	0.71 	0.41 	0.57 
115.07 	52.02 	2.36 	0.71 	0.41 	0.57 
115.37 	52.88 	2.98 	0.71 	0.41 	0.57 
114.71 	54.07 	1.52 	0.71 	0.41 	0.57 
114.07 	55.22 	0.09 	0.71 	0.41 	0.57 
114.95 	57.29 	1.96 	0.71 	0.41 	0.57 
114.24 	58.77 	0.81 	0.71 	0.41 	0.57 
113.80 	59.71 	0.09 	0.71 	0.41 	0.57 
114.86 	61.35 	2.31 	0.71 	0.41 	0.57 
114.17 	62.89 	1.23 	0.71 	0.41 	0.57 
113.45 	64.50 	0.09 	0.71 	0.41 	0.57 
114.37 	64.67 	1.99 	0.71 	0.41 	0.57 
113.34 	65.25 	0.09 	0.71 	0.41 	0.57 
113.69 	66.70 	1.42 	0.71 	0.41 	0.57 
113.97 	67.89 	2.51 	0.71 	0.41 	0.57 
113.10 	69.03 	1.11 	0.71 	0.41 	0.57 
112.47 	69.85 	0.09 	0.71 	0.41 	0.57 
112.62 	71.29 	1.47 	0.71 	0.41 	0.57 
112.71 	72.10 	2.25 	0.71 	0.41 	0.57 
111.49 	72.97 	0.09 	0.71 	0.41 	0.57 
111.19 	74.57 	1.26 	0.71 	0.41 	0.57 
110.94 	75.91 	2.23 	0.71 	0.41 	0.57 
109.87 	76.95 	0.90 	0.71 	0.41 	0.57 
109.23 	77.58 	0.09 	0.71 	0.41 	0.57 
109.10 	79.16 	2.28 	0.71 	0.41 	0.57 
107.92 	79.95 	0.88 	0.71 	0.41 	0.57 
107.25 	80.40 	0.09 	0.71 	0.41 	0.57 
106.69 	81.66 	1.54 	0.71 	0.41 	0.57 
106.25 	82.66 	2.70 	0.71 	0.41 	0.57 
105.27 	82.84 	0.97 	0.41 	0.71 	0.57 
104.78 	82.94 	0.09 	0.41 	0.71 	0.57 
103.75 	84.26 	1.19 	0.41 	0.71 	0.57 
102.87 	85.38 	2.11 	0.41 	0.71 	0.57 
101.32 	85.95 	0.99 	0.41 	0.71 	0.57 
100.10 	86.40 	0.09 	0.41 	0.71 	0.57 
99.77 	87.24 	1.88 	0.41 	0.71 	0.57 
99.58 	87.75 	2.97 	0.41 	0.71 	0.57 
98.05 	87.96 	1.69 	0.41 	0.71 	0.57 
96.15 	88.21 	0.09 	0.41 	0.71 	0.57 
95.51 	89.10 	1.77 	0.41 	0.71 	0.57 
94.96 	89.87 	3.22 	0.41 	0.71 	0.57 
93.86 	89.56 	1.58 	0.00 	0.82 	0.57 
92.85 	89.28 	0.09 	0.00 	0.82 	0.57 
91.82 	90.11 	1.59 	0.00 	0.82 	0.57 
91.24 	90.58 	2.43 	0.00 	0.82 	0.57 
89.74 	90.32 	1.12 	0.00 	0.82 	0.57 
88.56 	90.11 	0.09 	0.00 	0.82 	0.57 
87.93 	90.69 	1.90 	0.00 	0.82 	0.57 
87.41 	91.18 	3.41 	0.00 	0.82 	0.57 
86.07 	90.80 	1.97 	0.00 	0.82 	0.57 
84.33 	90.29 	0.09 	0.00 	0.82 	0.57 
83.39 	90.60 	1.83 	0.00 	0.82 	0.57 
82.41 	90.93 	3.67 	0.00 	0.82 	0.57 
81.77 	90.41 	1.84 	0.00 	0.82 	0.57 
81.16 	89.91 	0.09 	0.00 	0.82 	0.57 
79.56 	89.86 	1.30 	0.00 	0.82 	0.57 
77.47 	89.80 	2.88 	0.00 	0.82 	0.57 
76.73 	88.92 	1.25 	-0.41 	0.71 	0.57 
76.20 	88.30 	0.09 	-0.41 	0.71 	0.57 
74.07 	88.63 	1.87 	-0.41 	0.71 	0.57 
72.89 	87.25 	0.09 	-0.41 	0.71 	0.57 
71.11 	88.51 	1.83 	-0.41 	0.71 	0.57 
69.37 	88.31 	0.87 	-0.41 	0.71 	0.57 
67.91 	88.14 	0.08 	-0.41 	0.71 	0.57 
66.42 	88.96 	1.13 	-0.41 	0.71 	0.57 
64.49 	90.03 	2.49 	-0.41 	0.71 	0.57 
62.79 	89.47 	0.09 	-0.41 	0.71 	0.57 
61.80 	90.32 	1.71 	-0.41 	0.71 	0.57 
62.03 	89.61 	0.09 	-0.71 	0.41 	0.57 
60.38 	90.13 	1.10 	-0.71 	0.41 	0.57 
58.68 	90.67 	2.13 	-0.71 	0.41 	0.57 
56.85 	89.69 	0.09 	-0.71 	0.41 	0.57 
55.10 	90.40 	1.95 	-0.71 	0.41 	0.57 
53.76 	89.53 	0.76 	-0.71 	0.41 	0.57 
53.01 	89.05 	0.09 	-0.71 	0.41 	0.57 
52.12 	89.71 	1.76 	-0.71 	0.41 	0.57 
51.64 	90.05 	2.65 	-0.71 	0.41 	0.57 
51.50 	88.61 	0.09 	-0.71 	0.41 	0.57 
49.77 	88.68 	1.10 	-0.71 	0.41 	0.57 
47.54 	88.76 	2.41 	-0.71 	0.41 	0.57 
47.03 	87.60 	0.87 	-0.71 	0.41 	0.57 
46.77 	87.01 	0.09 	-0.71 	0.41 	0.57 
44.63 	87.28 	1.60 	-0.71 	0.41 	0.57 
43.86 	85.92 	0.09 	-0.71 	0.41 	0.57 
41.70 	86.14 	1.91 	-0.71 	0.41 	0.57 
41.07 	84.62 	0.09 	-0.71 	0.41 	0.57 
38.83 	84.52 	1.69 	-0.71 	0.41 	0.57 
37.22 	82.76 	0.09 	-0.71 	0.41 	0.57 
35.58 	82.71 	2.13 	-0.71 	0.41 	0.57 
34.46 	81.34 	1.20 	-0.71 	0.41 	0.57 
33.12 	79.72 	0.09 	-0.71 	0.41 	0.57 
32.70 	80.37 	1.96 	-0.71 	0.41 	0.57 
31.78 	78.92 	0.94 	-0.71 	0.41 	0.57 
31.01 	77.72 	0.09 	-0.71 	0.41 	0.57 
30.86 	78.42 	1.96 	-0.71 	0.41 	0.57 
30.77 	78.85 	3.09 	-0.71 	0.41 	0.57 
30.57 	77.71 	1.46 	-0.71 	0.41 	0.57 
30.40 	76.75 	0.09 	-0.71 	0.41 	0.57 
29.49 	76.19 	1.79 	-0.71 	0.41 	0.57 
28.36 	75.49 	3.89 	-0.71 	0.41 	0.57 
28.39 	74.27 	2.31 	-0.71 	0.41 	0.57 
28.43 	72.57 	0.09 	-0.71 	0.41 	0.57 
27.51 	71.75 	1.67 	-0.71 	0.41 	0.57 
26.28 	70.64 	3.80 	-0.71 	0.41 	0.57 
26.60 	69.36 	2.31 	-0.82 	0.00 	0.57 
27.07 	67.45 	0.09 	-0.82 	0.00 	0.57 
26.10 	66.87 	1.74 	-0.82 	0.00 	0.57 
25.28 	66.38 	3.13 	-0.82 	0.00 	0.57 
25.62 	64.94 	1.79 	-0.82 	0.00 	0.57 
26.05 	63.13 	0.09 	-0.82 	0.00 	0.57 
25.19 	63.03 	1.90 	-0.82 	0.00 	0.57 
24.02 	62.90 	4.36 	-0.82 	0.00 	0.57 
24.28 	61.43 	3.02 	-0.82 	0.00 	0.57 
24.53 	59.96 	1.69 	-0.82 	0.00 	0.57 
24.84 	58.20 	0.09 	-0.82 	0.00 	0.57 
24.12 	58.21 	1.96 	-0.82 	0.00 	0.57 
23.06 	58.23 	4.72 	-0.82 	0.00 	0.57 
23.49 	57.04 	3.16 	-0.82 	0.00 	0.57 
23.91 	55.85 	1.61 	-0.82 	0.00 	0.57 
24.32 	54.69 	0.09 	-0.82 	0.00 	0.57 
23.64 	54.05 	1.86 	-0.82 	0.00 	0.57 
22.80 	53.25 	4.07 	-0.82 	0.00 	0.57 
23.42 	52.49 	2.33 	-0.82 	0.00 	0.57 
24.22 	51.51 	0.09 	-0.82 	0.00 	0.57 
23.85 	50.06 	1.42 	-0.82 	0.00 	0.57 
23.31 	47.94 	3.38 	-0.82 	0.00 	0.57 
24.13 	46.94 	1.85 	-0.82 	0.00 	0.57 
25.07 	45.78 	0.09 	-0.82 	0.00 	0.57 
24.83 	44.25 	1.36 	-0.82 	0.00 	0.57 
24.57 	42.56 	2.75 	-0.82 	0.00 	0.57 
25.58 	41.43 	1.44 	-0.82 	0.00 	0.57 
26.60 	40.28 	0.09 	-0.82 	0.00 	0.57 
25.95 	38.97 	1.96 	-0.82 	0.00 	0.57 
27.34 	37.91 	0.09 	-0.71 	-0.41 	0.57 
26.98 	35.96 	2.18 	-0.71 	-0.41 	0.57 
28.12 	34.56 	1.31 	-0.71 	-0.41 	0.57 
29.64 	32.69 	0.15 	-0.71 	-0.41 	0.57 
28.48 	32.95 	1.79 	-0.71 	-0.41 	0.57 
27.59 	34.73 	2.02 	-0.71 	-0.41 	0.57 
26.98 	35.96 	2.18 	-0.71 	-0.41 	0.57 
26.33 	37.85 	2.04 	-0.71 	-0.41 	0.57 
25.95 	38.97 	1.96 	-0.71 	-0.41 	0.57 
25.25 	40.80 	2.36 	-0.71 	-0.41 	0.57 
24.57 	42.56 	2.75 	-0.71 	-0.41 	0.57 
24.12 	44.49 	2.98 	-0.71 	-0.41 	0.57 
23.66 	46.43 	3.20 	-0.71 	-0.41 	0.57 
23.31 	47.94 	3.38 	-0.71 	-0.41 	0.57 
23.12 	49.91 	3.63 	-0.71 	-0.41 	0.57 
22.93 	51.89 	3.89 	-0.71 	-0.41 	0.57 
22.80 	53.25 	4.07 	-0.71 	-0.41 	0.57 
22.90 	55.24 	4.33 	-0.71 	-0.41 	0.57 
23.01 	57.22 	4.58 	-0.71 	-0.41 	0.57 
23.06 	58.23 	4.72 	-0.71 	-0.41 	0.57 
23.46 	60.18 	4.57 	-0.71 	-0.41 	0.57 
24.02 	62.90 	4.36 	-0.71 	-0.41 	0.57 
24.67 	64.69 	3.73 	-0.71 	-0.41 	0.57 
25.28 	66.38 	3.13 	-0.71 	-0.41 	0.57 
25.73 	68.31 	3.43 	-0.71 	-0.41 	0.57 
26.28 	70.64 	3.80 	-0.71 	-0.41 	0.57 
27.07 	72.48 	3.84 	-0.71 	-0.41 	0.57 
27.86 	74.32 	3.87 	-0.71 	-0.41 	0.57 
28.36 	75.49 	3.89 	-0.71 	-0.41 	0.57 
29.51 	77.09 	3.51 	-0.58 	-0.33 	0.74 
30.77 	78.85 	3.09 	-0.58 	-0.33 	0.74 
32.70 	80.37 	1.96 	-0.67 	0.00 	0.74 
34.25 	81.63 	2.05 	-0.67 	0.00 	0.74 
35.58 	82.71 	2.13 	-0.67 	0.00 	0.74 
37.32 	83.67 	1.89 	-0.67 	0.00 	0.74 
38.83 	84.52 	1.69 	-0.67 	0.00 	0.74 
40.56 	85.50 	1.82 	-0.67 	0.00 	0.74 
41.70 	86.14 	1.91 	-0.67 	0.00 	0.74 
43.56 	86.86 	1.72 	-0.67 	0.00 	0.74 
44.63 	87.28 	1.60 	-0.67 	0.00 	0.74 
46.36 	88.16 	2.08 	-0.67 	0.00 	0.74 
47.54 	88.76 	2.41 	-0.67 	0.00 	0.74 
49.45 	89.36 	2.53 	-0.67 	0.00 	0.74 
51.64 	90.05 	2.65 	-0.67 	0.00 	0.74 
53.59 	90.25 	2.26 	-0.48 	0.00 	0.87 
55.10 	90.40 	1.95 	-0.48 	0.00 	0.87 
57.10 	90.55 	2.05 	-0.48 	0.00 	0.87 
